Date,BTC,LTC,XRP,DASH,RF
2015/9/25,235.1439972,2.892859936,0.0066503,2.454109907,0
2015/10/2,237.2929993,2.993200064,0.00586803,2.21803999,0
2015/10/9,243.9309998,3.107969999,0.00498277,2.362859964,0
2015/10/16,262.868988,3.107350111,0.00539754,2.338419914,0
2015/10/23,276.4960022,3.111540079,0.00467681,2.326169968,0
2015/10/30,328.0150146,4.06167984,0.00483902,2.540329933,0
2015/11/6,374.4700012,3.548010111,0.00456223,2.702260017,0.001
2015/11/13,336.7529907,3.225990057,0.00447739,2.533560038,0.001
2015/11/20,322.0220032,3.115570068,0.00422705,2.228080034,0.001
2015/11/27,358.0419922,3.578609943,0.0042761,2.15809989,0.001
2015/12/4,363.1830139,3.361809969,0.00475444,2.33739996,0.003
2015/12/11,451.9379883,3.8364501,0.00844066,2.692339897,0.003
2015/12/18,463.6159973,3.756959915,0.00638653,2.648279905,0.003
2015/12/25,455.6530151,3.624749899,0.00648652,2.82652998,0.003
2016/1/1,434.3340149,3.508980036,0.00595503,3.377019882,0.003
2016/1/8,453.230011,3.568880081,0.00593331,3.30501008,0.002
2016/1/15,364.3309937,2.996779919,0.00522933,3.356590033,0.002
2016/1/22,382.4920044,3.076570034,0.00511437,5.125520229,0.002
2016/1/29,379.473999,3.1113801,0.00683954,4.389729977,0.002
2016/2/5,386.5490112,3.137409926,0.00726208,4.276440144,0.005
2016/2/12,384.2630005,3.11187005,0.00797939,3.791340113,0.005
2016/2/19,420.7850037,3.252789974,0.00824475,3.50948,0.005
2016/2/26,432.1520081,3.416790009,0.00805793,3.966919899,0.005
2016/3/4,410.9389954,3.250230074,0.00809603,4.634679794,0.005
2016/3/11,421.6900024,3.38470006,0.00880278,5.154640198,0.005
2016/3/18,409.5480042,3.169810057,0.00811926,5.952559948,0.005
2016/3/25,417.177002,3.229069948,0.00819108,7.438660145,0.005
2016/4/1,417.9599915,3.239949942,0.00741781,7.068210125,0.002
2016/4/8,420.348999,3.220269918,0.00667077,6.994460106,0.002
2016/4/15,429.7130127,3.278830051,0.00642381,6.025629997,0.002
2016/4/22,445.7369995,3.319269896,0.00728384,6.280169964,0.002
2016/4/29,455.0969849,3.813600063,0.00675929,6.599279881,0.002
2016/5/6,459.6029968,3.822109938,0.00639858,6.765270233,0.003
2016/5/13,455.6700134,3.925679922,0.00610943,6.969049931,0.003
2016/5/20,442.6759949,3.881010056,0.00608378,7.946839809,0.003
2016/5/27,473.4639893,4.501329899,0.00567922,7.499909878,0.003
2016/6/3,569.1939697,4.86097002,0.00582659,8.060819626,0.005
2016/6/10,577.4699707,4.840000153,0.00573611,7.835529804,0.005
2016/6/17,748.9089966,5.593269825,0.00669322,8.361840248,0.005
2016/6/24,665.2990112,4.279099941,0.00643372,7.126399994,0.005
2016/7/1,676.2960205,4.255970001,0.00678673,7.242949963,0.005
2016/7/8,666.5230103,4.219910145,0.00671544,7.449920178,0.005
2016/7/15,663.2550049,4.159770012,0.00644201,8.091219902,0.005
2016/7/22,650.6190186,4.038290024,0.00630293,9.245030403,0.005
2016/7/29,656.9920044,4.077439785,0.00611078,9.45895958,0.005
2016/8/5,575.0430298,3.729039908,0.00644721,9.723239899,0.005
2016/8/12,587.559021,3.709350109,0.00612276,12.59080029,0.005
2016/8/19,575.6300049,3.604089975,0.00611939,13.7826004,0.005
2016/8/26,579.651001,3.826380014,0.00603018,12.74030018,0.005
2016/9/2,575.5369873,3.824569941,0.00596991,11.35639954,0.005
2016/9/9,622.8610229,3.969990015,0.00586911,11.2166996,0.005
2016/9/16,606.9730225,3.806190014,0.00744597,11.71790028,0.005
2016/9/23,602.84198,3.81291008,0.00721064,11.54240036,0.005
2016/9/30,609.7349854,3.841599941,0.00883032,12.09570026,0.005
2016/10/7,617.1209717,3.862289906,0.00737651,11.87360001,0.004
2016/10/14,640.3779907,3.897599936,0.00876702,11.52729988,0.004
2016/10/21,632.8280029,3.805459976,0.00902918,10.77490044,0.004
2016/10/28,689.651001,3.97322011,0.00814314,9.068460465,0.004
2016/11/4,703.2349854,3.878890038,0.0081568,9.12539959,0.004
2016/11/11,716.4110107,3.816009998,0.00806511,9.665080071,0.004
2016/11/18,751.585022,3.961319923,0.00777787,8.954330444,0.004
2016/11/25,741.6489868,3.915420055,0.00690204,9.097169876,0.004
2016/12/2,777.9439697,3.946439982,0.00666045,8.656009674,0.006
2016/12/9,772.7940063,3.691479921,0.00713467,8.834799767,0.006
2016/12/16,784.9069824,3.628180027,0.00671017,9.894189835,0.006
2016/12/23,921.9840088,4.655330181,0.00628595,9.555990219,0.006
2016/12/30,961.2379761,4.390520096,0.00642641,11.10990047,0.006
2017/1/6,902.2009888,3.861259937,0.00631464,12.0323,0.009
2017/1/13,823.9840088,3.890870094,0.00659646,12.59399986,0.009
2017/1/20,895.026001,3.890010119,0.00667528,15.15929985,0.009
2017/1/27,919.75,3.855880022,0.00641529,15.3423996,0.009
2017/2/3,1029.910034,4.082560062,0.00647392,17.52039909,0.009
2017/2/10,988.6740112,3.777209997,0.00628911,16.67289925,0.009
2017/2/17,1046.209961,3.830359936,0.00593549,20.00169945,0.009
2017/2/24,1173.680054,3.84671998,0.0057006,26.20229912,0.009
2017/3/3,1274.98999,3.920819998,0.00633945,47.37519836,0.008
2017/3/10,1116.719971,3.752170086,0.00622738,50.42240143,0.008
2017/3/17,1100.22998,4.055099964,0.00611606,99.14019775,0.008
2017/3/24,937.5200195,4.083960056,0.0105181,97.26589966,0.008
2017/3/31,1071.790039,6.667059898,0.020889301,74.90850067,0.008
2017/4/7,1176.900024,9.371560097,0.036319502,66.18810272,0.014
2017/4/14,1167.540039,10.39000034,0.0337791,70.77400208,0.014
2017/4/21,1222.050049,11.22780037,0.0327795,70.87789917,0.014
2017/4/28,1316.47998,14.34150028,0.044475,79.48639679,0.014
2017/5/5,1555.449951,26.26689911,0.093550503,99.00679779,0.016
2017/5/12,1724.23999,27.45490074,0.206067994,86.80339813,0.016
2017/5/19,1987.709961,27.69750023,0.327800989,98.98390198,0.016
2017/5/26,2202.419922,23.74830055,0.271807998,112.9400024,0.016
2017/6/2,2488.550049,28.94470024,0.303447992,145.2949982,0.015
2017/6/9,2823.810059,29.68160057,0.286018997,148.9309998,0.015
2017/6/16,2518.560059,35.70050049,0.262068003,166.25,0.015
